acc,drs
SRR1597765,3994195ab162f49fdd77531fa0661423
SRR1597805,685fb9a893fb4aec83e299aeee58abd6
SRR1597650,4c569dd89ca9bf0e69f98568907dd3d8
SRR1598254,ac859eba397439c55e94e65aea31e6dc
SRR1598334,e16258534af13b981259c0d3a7a06ce7
SRR1603273,a7d9c6b638c129f1d833327d703d9210
SRR1598405,972480bd31e19b9611f522d8f7d57069
SRR1597973,c0f436737c5251e7a84e42c15624a52a
SRR1598305,48e35eeec02f9b12c0898e2c7cbc54b1
SRR1598320,971b62eff6e6d13f510b03b90252aa1c
SRR1598420,16c89426a8c5b14a8325b13f4b6e362d
SRR1598137,a283258102e46af8724e3d5f898923ee
SRR1603622,6de2431d0ab1a699b950ddfda4c25420
SRR1598146,6c4221468323c2966f738ad2021b4a5d
SRR1598150,c800c67ba3cb21dd4c308271ac94226e
SRR1598149,4eadadd92020c8a2b91ec92893ed2afc
SRR1607218,2d470aa43611e69599bdb05865b50c46
SRR1604785,dc58d35693a1f19484d54cfa54e1c301
SRR1603028,f9b4707877d9f14073c0b6c0e5b38911
SRR1603000,8fc6bfcaedcf54614bf6199ef9b64b5d
SRR1603075,ea20a84c297bdc502d4bf603df7302d5
SRR1597938,016f74bbf54ab7a26c0098c38795133d
SRR1598061,08e1be641b4017f38d9f742bd5adae83
SRR1603999,52e1ff10c86a8d594f22012c34b3b035
SRR1604167,209975e8988800649a3791443db9c867
SRR1604795,62a18d17d73562d2647a5d8bcbf5daf5
SRR1604736,08f971feb17822d4ce986a298424f715
SRR1598567,cf1598d06420d122c317e0111fed6e65
SRR1598009,ebb19105a97b3fe7f4fc65d5cb41d30f
SRR1598493,c7c51584316afb1d293708f4846d2573
SRR1607168,bd9bfa78f16d9bebcee8e852a82b6389
SRR1597913,a4247ce1906af999f1abbb9389290820
SRR1603376,2dbf39be663c2d0983b19a0500595ffe
SRR1601973,4f0c1692ddc01cfd8906122e8f5b062f
SRR1602022,143d79acc0b930d0f72ef03977829f69
SRR1598504,33d09d40038e525847518921e88c294f
SRR1598478,4923ea85cb58f14b0839742f00e1188b
SRR1596717,92e86d584ad75b7dd62a6a02c35b48d2
SRR1603489,106161107c08f67cc938772c48ecf227
SRR1597824,8efb0124a44085e1174d8e11a30e596f
SRR1605526,53133e37413fef5955bab182696dfb1a
SRR1605635,9fe8ad1a25143778bf61b42ff4ae0aa4
SRR1600678,2791eb709a90932b7f5c6d9be85eb373
SRR1606711,6980c6c881d6eba6651fdb40f8d16415
SRR1602359,d600dc565535c77953d7b4ca6e9147f1
SRR1602338,0ffef0fe46cd56ae943a6510ff7ada47
SRR1607084,30762089d2414c1c65d8fbbde4e07616
SRR1600734,92efd436d3723410cc7e1b1e1969a42b
SRR1602427,b957e958eac3fe136a7e5c0c660c8983
SRR1606534,bf8ae665472d8e50375c277ed93e23e7
SRR1602376,1056f7d9ba8047515dd4e8a307a19e9c
SRR1606606,fd07c9b9f2d8d855b128c9b3315a3c7c
SRR1606582,9729c1daf2b3f0d1932b023f004611e3
SRR1606538,5661a5543a3f8f8f1e0be6f1f9196f0a
SRR1600904,3330775f90cf4149b0030b76806dd744
SRR1605514,d513eb3e76c0e1d3a40affc273097ef4
SRR1606893,f9c33d8226ebee122b2460d8e4465639
SRR1601005,f5e136414bfe33d8208e8ef3748cde6e
SRR1597084,4d59b822a6bc3b7675fcbed8998a6a43
SRR1597032,82390be2105fd361c5debe5db4bf5ff7
SRR1607175,ba106d527780d919d06ae9698fd6f56e
SRR1602189,7613eb437989e9b477850ac2d2b10102
SRR1599549,3ddb55f8bcdd51ec5ea0180fe4a0535e
SRR1607249,73c9f071b9eb513b7fb4c4c79bdaa9fb
SRR1597062,673cfcfcefe0e55078efd1408a1eb9d8
SRR1606965,1cd17a2a56479eca77c528ab58db238d
SRR1602211,532d74dfc168ef6735155f4d8c05544f
